recommendationId,scenarioName,minute,minuteBand,scoreState,originalBetMarket,originalMarketFamily,originalResult,shouldPush,actionable,canonicalMarket,replayQualityAttribution,providerCoverageStatus,replayContextStatus,llmDecisionDiagnostic,marketResolutionStatus,replaySelection,settlementResult,directionalWin,replayOdds,replayStakePercent,replayPnl
13402,13402-1545451-83m-corners-under-14-5,83,75+,level,corners_under_14.5,corners,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13401,13401-1490324-64m-over-0-75,64,60-74,0-0,over_0.75,goals_over,half_win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13400,13400-1545451-55m-asian-handicap-home-0-25,55,45-59,level,asian_handicap_home_+0.25,asian_handicap,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13399,13399-1504827-45m-btts-yes,45,45-59,two-plus-margin,btts_yes,btts,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13398,13398-1504825-67m-btts-yes,67,60-74,two-plus-margin,btts_yes,btts,win,0,0,btts_yes,hard_policy_gate,ok,ok,policy_blocked,resolved,BTTS Yes @2.2,,,,0,
13397,13397-1490321-83m-corners-under-8-5,83,75+,level,corners_under_8.5,corners,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13396,13396-1490321-45m-asian-handicap-home-0-25,45,45-59,level,asian_handicap_home_-0.25,asian_handicap,half_loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13395,13395-1490320-80m-under-4-5,80,75+,two-plus-margin,under_4.5,goals_under,win,0,0,under_4.5,hard_policy_gate,ok,ok,policy_blocked,resolved,Under 4.5 Goals @2.025,,,,0,
13394,13394-1490318-76m-corners-under-6-5,76,75+,two-plus-margin,corners_under_6.5,corners,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13393,13393-1490318-72m-under-4-75,72,60-74,two-plus-margin,under_4.75,goals_under,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13392,13392-1490319-50m-under-4,50,45-59,one-goal-margin,under_4,goals_under,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13391,13391-1516858-70m-under-0-5,70,60-74,0-0,under_0.5,goals_under,win,0,0,unknown,pre_llm_blocked,ok,ok,pre_llm_blocked,not_requested,,,,,0,
13390,13390-1403861-83m-under-1-5,83,75+,one-goal-margin,under_1.5,goals_under,win,0,0,unknown,pre_llm_blocked,ok,ok,pre_llm_blocked,not_requested,,,,,0,
13389,13389-1396821-74m-over-1-5,74,60-74,one-goal-margin,over_1.5,goals_over,loss,0,0,unknown,pre_llm_blocked,ok,ok,pre_llm_blocked,not_requested,,,,,0,
13388,13388-1396821-50m-asian-handicap-home-0-5,50,45-59,one-goal-margin,asian_handicap_home_+0.5,asian_handicap,loss,0,0,unknown,pre_llm_blocked,ok,ok,pre_llm_blocked,not_requested,,,,,0,
13377,13377-1523155-81m-under-2-5,81,75+,level,under_2.5,goals_under,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13378,13378-1523158-64m-asian-handicap-away-0-5,64,60-74,0-0,asian_handicap_away_+0.5,asian_handicap,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13379,13379-1523157-73m-over-1-5,73,60-74,one-goal-margin,over_1.5,goals_over,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13380,13380-1523158-74m-over-1-5,74,60-74,one-goal-margin,over_1.5,goals_over,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13381,13381-1535217-61m-over-1-5,61,60-74,one-goal-margin,over_1.5,goals_over,win,0,0,over_1.5,model_policy_mismatch,ok,ok,policy_blocked,resolved,Over 1.5 Goals @1.55,,,,0,
13382,13382-1535299-60m-over-2-5,60,60-74,level,over_2.5,goals_over,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13383,13383-1535299-83m-corners-over-10-5,83,75+,level,corners_over_10.5,corners,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13384,13384-1535304-69m-under-4-75,69,60-74,two-plus-margin,under_4.75,goals_under,half_loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13385,13385-1535207-69m-under-4-5,69,60-74,level,under_4.5,goals_under,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13387,13387-1535203-76m-under-2-5,76,75+,level,under_2.5,goals_under,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13367,13367-1490309-60m-corners-over-10-5,60,60-74,two-plus-margin,corners_over_10.5,corners,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13368,13368-1490309-70m-over-5-5,70,60-74,one-goal-margin,over_5.5,goals_over,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13369,13369-1544856-38m-asian-handicap-home-0,38,30-44,0-0,asian_handicap_home_0,asian_handicap,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13370,13370-1544856-58m-btts-no,58,45-59,one-goal-margin,btts_no,btts,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13371,13371-1544856-66m-corners-under-6,66,60-74,one-goal-margin,corners_under_6,corners,push,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13372,13372-1544856-81m-under-1-5,81,75+,one-goal-margin,under_1.5,goals_under,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13373,13373-1523158-42m-asian-handicap-away-0,42,30-44,0-0,asian_handicap_away_0,asian_handicap,push,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13374,13374-1523155-50m-corners-over-16,50,45-59,level,corners_over_16,corners,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13375,13375-1523156-77m-under-2-5,77,75+,level,under_2.5,goals_under,loss,0,0,under_2.5,model_policy_mismatch,ok,ok,policy_blocked,resolved,Under 2.5 Goals @1.7,,,,0,
13376,13376-1523157-54m-asian-handicap-home-0-25,54,45-59,0-0,asian_handicap_home_-0.25,asian_handicap,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13366,13366-1544856-15m-ht-asian-handicap-home-0,15,00-29,0-0,ht_asian_handicap_home_0,other,push,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13365,13365-1490309-19m-ht-over-1-5,19,00-29,one-goal-margin,ht_over_1.5,other,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13364,13364-1504813-82m-under-1-5,82,75+,one-goal-margin,under_1.5,goals_under,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
